F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
9.07,34.65,31.22,-10.71,55,39.45,-1.68,-5.98,3.72,20,16.23,-241.52,-7.54,13.7,FALSE
6.86,99.65,31.22,-11.41,50,30.45,5.55,-8.42,7.11,20,28.47,-421.52,-8.1,14.5,FALSE
10.87,21.65,25.22,-5.98,12,2.91,9.81,-0.36,-12.66,2,30.87,-254.52,0.24,0.4,FALSE
11.27,13.65,25.22,-6.18,33,1.77,1.92,1.84,-2.49,2,27.99,-234.52,0.2,0.3,FALSE
10.19,27.65,29.22,-6.21,30,4.47,1.35,-0.5,-8.19,2,27.63,-266.52,0.44,1.76,TRUE
5.57,114.65,31.22,-13.11,105,31.95,1.83,-9.22,9.33,20,15.9,-371.52,-10.82,12.8,TRUE
7.83,-30.35,71.22,-12.11,355,43.65,0.36,-7.64,-1.65,20,19.8,-436.52,-5.66,10.4,FALSE
11.98,37.65,25.22,-6.22,15,4.56,1.14,1.82,-5.07,2,28.26,-269.52,-0.26,1.56,TRUE
6.93,-65.35,71.22,-10.66,125,25.35,-3.12,-7.86,3.51,20,19.71,-376.52,-9.6,17.1,FALSE
14.03,44.65,25.22,-6.02,5,0.84,1.92,-0.4,-2.34,2,27.81,-242.52,-1.78,1.68,TRUE
6.12,-45.35,51.22,-11.01,95,22.8,-1.11,-9.7,1.59,20,16.8,-316.52,-9.68,16.1,FALSE
11.46,36.65,21.22,-5.91,18,1.92,4.26,1.84,-2.52,2,29.67,-240.52,-1.42,1.34,TRUE
7.15,89.65,31.22,-14.76,350,16.05,10.83,-9.06,11.13,20,13.17,-376.52,-12.08,16.4,FALSE
11.28,17.65,25.22,-6.21,17,0.3,4.47,0.34,-2.73,2,28.23,-269.52,-1.24,1.08,FALSE
8.23,19.65,51.22,-11.96,230,24.45,1.89,-4.38,6.84,20,21.63,-461.52,-6.68,11.9,FALSE
11.96,47.65,25.22,-6.13,10,1.11,4.8,-1.56,-3.03,2,29.55,-223.52,-1.8,0.9,TRUE
10.61,47.65,21.22,-5.93,9,1.62,3.81,0.24,-3.15,2,27.27,-233.52,-2,1.7,TRUE
14.5,25.65,25.22,-5.88,16,2.55,6.45,3.48,-15.9,2,28.53,-232.52,2.22,0.66,FALSE
11.76,25.65,23.22,-5.94,0,2.25,1.5,-0.04,-5.91,2,28.32,-239.52,-0.52,0.84,FALSE
5.41,119.65,51.22,-14.71,185,32.85,-0.24,-7.6,6.93,20,14.73,-356.52,-11.86,10.1,TRUE
6.51,-55.35,51.22,-12.11,110,20.1,-3.39,-9.6,5.49,20,16.2,-406.52,-6.72,12.8,FALSE
6.37,109.65,51.22,-13.01,85,31.95,-2.82,-7.72,6.27,20,16.47,-451.52,-8.38,10.3,FALSE
11.01,39.65,21.22,-5.99,4,3.87,1.95,-0.74,-7.98,2,28.14,-249.52,1.14,1.62,TRUE
7.2,19.65,51.22,-12.41,130,18.3,-1.32,-1.7,10.5,20,18.45,-446.52,-8.86,17.1,TRUE
11.98,14.65,25.22,-5.88,12,4.8,-0.06,-0.56,-6.33,2,31.2,-269.52,2.92,0.66,FALSE
7.29,24.65,61.22,-10.71,215,29.4,-1.95,3.74,6.9,20,20.49,-441.52,-9.22,19.4,FALSE
11.97,18.65,29.22,-6.11,2,4.17,2.94,11.96,-13.77,2,34.53,-226.52,1.22,0.32,TRUE
8.07,-20.35,71.22,-11.46,300,43.8,-3.18,-5.38,3.75,20,15.03,-376.52,-7.88,14.7,FALSE
11.03,40.65,21.22,-6.29,74,4.83,1.86,0.7,-4.89,2,27.3,-227.52,0.44,1.06,TRUE
11.65,47.65,25.22,-5.92,15,0.57,5.61,0.36,-7.35,2,28.14,-232.52,8.84,1.5,TRUE
7.05,54.65,31.22,-12.56,215,29.55,1.08,-8.74,7.59,20,15.66,-326.52,-10.92,15.1,TRUE
7.11,54.65,31.22,-12.86,285,18.9,3.24,-9.86,10.11,20,15.63,-341.52,-9.74,10.7,FALSE
5.33,54.65,31.22,-14.81,330,16.8,7.17,-4.36,8.49,20,12.42,-376.52,-9.24,15.6,FALSE
7.02,-40.35,51.22,-11.46,170,15.75,-2.64,-9.16,4.32,20,19.5,-466.52,-8.6,17.1,FALSE
5.83,-45.35,51.22,-13.16,170,24.6,5.61,-6.26,10.89,20,16.62,-426.52,-8.44,15.5,TRUE
12.68,11.65,29.22,-5.77,6,5.67,3.75,0.24,-5.91,2,28.98,-263.52,0.1,1.28,TRUE
10.96,12.65,25.22,-6.14,17,4.59,1.47,-0.94,-2.46,2,30.09,-236.52,-1.26,1.82,TRUE
10.25,45.65,25.22,-5.7,25,5.04,8.85,-1.32,-2.79,2,28.02,-230.52,0.32,1.6,FALSE
8.02,-15.35,51.22,-11.21,370,32.7,2.94,-5.3,4.62,20,21.57,-446.52,-6.92,13.4,FALSE
9.64,74.65,31.22,-11.66,345,33.9,5.43,-9.54,10.29,20,14.19,-246.52,-2.76,11.7,FALSE
